if 	IF
else 	ELSE
elsif 	ELSIF
case 	CASE
endcase 	ENDCASE
begin 	BEGIN
end 	END
module 	MODULE
endmodule 	ENDMODULE
parameter 	PARAM
localparam 	LOCALPARAM
always 	ALWAYS
assign 	ASSIGN
genvar 	GENVAR
generate 	GENERATE
endgenerate 	ENDGENERATE
for 	FOR
while 	WHILE
initial 	INITIAL
input 	INPUT
output 	OUTPUT
inout 	INOUT
pos 	POS
neg 	NEG
edge 	EDGE
signed 	SIGNED
reg 	REG
wire 	WIRE
`	SEP
# 	HASH
/ 	SLASH
. 	DOT
, 	COM
& 	AND
@ 	AT
$ 	DOL
! 	EM
? 	QM
~ 	NOT
|	OR
[ 	OSB
] 	CSB
( 	OB
) 	CB
{ 	OWB
} 	CWB
+ 	PLUS
- 	MINUS
: 	CLN
; 	SCLN
= 	EQ
< 	LT
> 	GT
